Handle,SKU,Name,Category,Description,Sold by weight,Option 1 name,Option 1 value,Option 2 name,Option 2 value,Option 3 name,Option 3 value,Cost,Barcode,SKU of included item,Quantity of included item,Track stock,Available for sale [สุเมธค้าข้าว สาขาวัดดอนกระถิน],Price [สุเมธค้าข้าว สาขาวัดดอนกระถิน],In stock [สุเมธค้าข้าว สาขาวัดดอนกระถิน],Low stock [สุเมธค้าข้าว สาขาวัดดอนกระถิน]
ดอกบัว(15m),10266,ดอกบัว(15M),กระสอบถัง,,N,,,,,,,0.00,ดบ15,,,N,Y,variable,,
ดอกบัว(5m),10261,ดอกบัว(5M),ยกมัด(5M),,N,,,,,,,0.00,ดบ5,,,N,Y,1150.00,,
ดอกบัว(ใหญ่),10270,ดอกบัว(ใหญ่),,,N,,,,,,,0.00,ดบ40,,,N,Y,1470.00,,
ดอกบัวท่อน15กก,10447,ดอกบัวท่อน15กก,,,N,,,,,,,0.00,,,,N,Y,360.00,,
ดอกบัวท่อน40กก,10448,ดอกบัวท่อน40กก,,,N,,,,,,,0.00,,,,N,Y,920.00,,
ดอกแก้วชมพู14กก,10896,ดอกแก้วชมพู14กก,,,N,,,,,,,0.00,,,,N,Y,variable,,
ดอกแก้วชมพู15กก,10871,ดอกแก้วชมพู15กก,,,N,,,,,,,0.00,,,,N,Y,290.00,,
ดอกแก้วชมพู40กก,10945,ดอกแก้วชมพู40กก,,,N,,,,,,,0.00,,,,N,Y,variable,,
ดอกแก้วชมพู5กก,10919,ดอกแก้วชมพู5กก,,,N,,,,,,,0.00,,,,N,Y,variable,,
ดอกแก้วฟ้า(สอบ),10644,ดอกแก้วทอง(สอบ),,,N,,,,,,,0.00,,,,N,Y,variable,,
ดอกแก้วทอง15กก-1,10685,ดอกแก้วทอง14กก,,,N,,,,,,,0.00,,,,N,Y,490.00,,
ดอกแก้วทอง15กก-2,10701,ดอกแก้วทอง14กก,,,N,,,,,,,500.00,,,,N,Y,variable,,
ดอกแก้วทอง40กก,10510,ดอกแก้วทอง40กก,,,N,,,,,,,0.00,,,,N,Y,1350.00,,
ดอกแก้วทอง40กก-1,10990,ดอกแก้วทอง40กก,,,N,,,,,,,0.00,,,,N,Y,variable,,
ดอกแก้วทอง5กก,10465,ดอกแก้วทอง5กก,,,N,,,,,,,0.00,,,,N,Y,variable,,
ดอกแก้วทอง5กก-1,10253,ดอกแก้วทอง5กกมัด,,,N,,,,,,,0.00,,,,N,Y,1650.00,,
ดอกแก้วฟ้า-(15m),10017,ดอกแก้วน้ำเงิน (15M),กระสอบถัง,,N,,,,,,,0.00,ดก15,,,N,Y,460.00,,
ดอกแก้วน้ำเงิน-5กก.,10395,ดอกแก้วน้ำเงิน 5กก.,,,N,,,,,,,0.00,,,,N,Y,160.00,,
ดอกแก้วน้ำเงิน15กก,10775,ดอกแก้วน้ำเงิน15กก,,,N,,,,,,,0.00,,,,N,Y,variable,,
ดอกแก้วน้ำเงิน,10514,ดอกแก้วน้ำเงิน40กก,,,N,,,,,,,0.00,,,,N,Y,1100.00,,
ดอกแก้วน้ำเงิน40กก-1,10938,ดอกแก้วน้ำเงิน40กก,,,N,,,,,,,0.00,,,,N,Y,variable,,
ดอกแก้วน้ำเงิน(มัด),10726,ดอกแก้วน้ำเงิน5กก(มัด),,,N,,,,,,,0.00,ดก,,,N,Y,1600.00,,
ดอกแก้วฟ้า-(5m),10168,ดอกแก้วฟ้า (5M),ยกมัด(5M),,N,,,,,,,0.00,ดกฟ5,,,N,Y,variable,,
ดอกแก้วฟ้า-(ใหญ่),10189,ดอกแก้วฟ้า (ใหญ่),,,N,,,,,,,0.00,ดก45,,,N,Y,variable,,
ดอกแก้วฟ้า(5m)ปลีก,10415,ดอกแก้วฟ้า(5m)ปลีก,,,N,,,,,,,0.00,,,,N,Y,variable,,
ดอกแก้วฟ้า15กก,10626,ดอกแก้วฟ้า14กก,,,N,,,,,,,0.00,,,,N,Y,260.00,,
ดอกแก้วฟ้า14กก-1,10873,ดอกแก้วฟ้า14กก,,,N,,,,,,,0.00,,,,N,Y,variable,,
ดอกแก้วส้ม15กก,10829,ดอกแก้วส้ม15กก,,,N,,,,,,,0.00,,,,N,Y,variable,,
ดอกแก้วส้ม40กก,10827,ดอกแก้วส้ม40กก,,,N,,,,,,,0.00,,,,N,Y,variable,,
ดอกแก้วส้ม40กก-1,10830,ดอกแก้วส้ม40กก,,,N,,,,,,,0.00,,,,N,Y,720.00,,
ดอกแก้วส้ม5กก,10828,ดอกแก้วส้ม5กก,,,N,,,,,,,0.00,,,,N,Y,950.00,,
ดอกแก้วส้ม5กก-1,11013,ดอกแก้วส้ม5กก,,,N,,,,,,,0.00,,,,N,Y,variable,,
ดอกแก้วเขียว15กก,10757,ดอกแก้วเขียว15กก,,,N,,,,,,,0.00,,,,N,Y,320.00,,
ดอกแก้วเขียว40กก,10946,ดอกแก้วเขียว40กก,,,N,,,,,,,0.00,,,,N,Y,variable,,
ดอกแก้วเขียว5กก,10015,ดอกแก้วเขียว5กก,,,N,,,,,,,0.00,,,,N,Y,1400.00,,
ดอกแก้วแดง-(15m),10177,ดอกแก้วแดง (15M),กระสอบถัง,,N,,,,,,,0.00,ดกด15,,,N,Y,300.00,,
ดอกแก้วแดง-(5m),10169,ดอกแก้วแดง (5M),ยกมัด(5M),,N,,,,,,,0.00,ดกด5,,,N,Y,1150.00,,
ดอกแก้วแดง-(ใหญ่),10190,ดอกแก้วแดง (ใหญ่),,,N,,,,,,,0.00,ดกด40,,,N,Y,880.00,,
ดอกแก้วแดง(5m)ปลีก,10416,ดอกแก้วแดง(5m)ถุง,,,N,,,,,,,0.00,,,,N,Y,115.00,,
ดอกแก้วแดง15กก,10319,ดอกแก้วแดง15กก,,,N,,,,,,,0.00,,,,N,Y,variable,,
ดอกแก้วแดง5กก,10766,ดอกแก้วแดง5กก,,,N,,,,,,,0.00,,,,N,Y,variable,,
ดอกไม้ขวด,10504,ดอกไม้ขวด,เครื่องครัว / ในบ้าน,,N,,,,,,,0.00,ดมข,,,N,Y,520.00,,
ดอกไม้ถุง,10503,ดอกไม้ถุง,เครื่องครัว / ในบ้าน,,N,,,,,,,0.00,ดมถ,,,N,Y,540.00,,
ดาว-10-บาทยกลัง,10450,ดาว 10 บาทยกลัง,,,N,,,,,,,0.00,,,,N,Y,3950.00,,
ดาว-15-บาท-ยกลัง,10451,ดาว 15 บาท ยกลัง,,,N,,,,,,,0.00,,,,N,Y,3600.00,,
ดาว-20-บาท-ยกลัง,10452,ดาว 20 บาท ยกลัง,,,N,,,,,,,0.00,,,,N,Y,3800.00,,
ดาว10,10952,ดาว10,,,N,,,,,,,0.00,,,,N,Y,variable,,
ดาว10บาท,10064,ดาว10บาท,บุหรี่ / ยาเส้น / ใบจาก,,N,,,,,,,0.00,ด10,,,N,Y,220.00,,
ดาว15-1,10967,ดาว15,,,N,,,,,,,0.00,,,,N,Y,variable,,
ดาว15บาท,10066,ดาว15บาท,บุหรี่ / ยาเส้น / ใบจาก,,N,,,,,,,0.00,ด15,,,N,Y,160.00,,
ดาว15,10710,ดาว20,,,N,,,,,,,0.00,,,,N,Y,variable,,
ดาว20บาท,10065,ดาว20บาท,บุหรี่ / ยาเส้น / ใบจาก,,N,,,,,,,0.00,ด20,,,N,Y,220.00,,
